cid,smiles
355223,CCOC(=O)C=CN=[N+]=[N-]
355332,C1=CC2C=CC1C=CC2=O
355352,CC1=CSC(=CC(=C)N)N1
356841,CC(=CC(=O)NCCO)C
357777,COCOCCC=CC=O
358911,COCC1(C=CC(=O)O1)O
359565,CC(=C[N+](=O)[O-])C(=O)OC
360947,CO[C@@H]1CCC=C(O1)C=O
362714,CC=CC(=O)C(C(C)C)O
364525,C(#N)C1C(=O)C(=O)NC1=O
368302,CC1(OC(=CC(=O)O1)O)C
371091,COC1=CC(=O)NCCN1
371092,CC1=CC(=O)NCCN1C
381330,C1C(=[N+]=[N-])C(=O)NC(=O)N1
392710,CC(=O)C1=C(CCC1=O)O
394647,CCC1(C=CC(=O)C=C1)O
397764,C1=CC2C(N=C1)SSC2=S
407063,C1C=CC=C2C1=CC=CN2
407614,CN1C=CC=CC1C=NO
407923,CC1N=C(C=C(N1C)C)C
408052,CCCN1C=CC=CC1C
408562,C1=NC2C(=NC=NC2=N1)N
408682,C1CN2C=CSC2=NC1=O
408712,C1(=NNN=N1)NC(=O)N=N
409844,C1=NC(=NC2=NC=NC21)N
409934,CC1=NC2=NC=NC2C=N1
410956,C1=NC2=NN=NC2C(=N1)N
411900,CC1C=C(C=C(O1)C)SC
412724,C1=CNC(=C1)C(=O)C(=O)O
414277,CC1=CC=NC2=NC=NC12
414284,C1=NC2C(=NN=NC2=N1)N
415393,C=NNC(=NN=C)NN=C
415621,C1=C(C2C(=NC=N2)N=C1)N
415689,CC(C)CC=NN=C(N)N
416054,CC(CC=NN=C(N)N)O
416058,CC(=NN=C(N)N)CCO
416059,C(C(C=NN=C(N)N)O)O
416168,CC(C)C(=NN=C(N)N)C
417494,C1=C(C2C(=NN=N2)N=C1)N
418123,CC1=CSC2N1C=CC=C2
418289,CN(C)C(=O)C=CC(=O)O
418616,CCC1=CN(C(C=C1)C)N
419928,C1=CC2N(C=C1)C(=CS2)O
420450,CCC1=CN(C(C=C1)C)C
421480,C1CNC2C=CC=CN2C1
422203,C1=CC2N(C=C1)C(=CS2)N
423666,C=CC(=O)CCCC(=O)O
423780,CC1C=C(C=C(N1C)C)C
424915,COC(=O)C1=CCNC=C1
425173,CC(C)(C)C1=CCNC=C1
426408,CCC(=O)N=C1N=NN=N1
426443,CN1C=CC=CC1C(=O)O
428060,CC=C(C(=O)O)S(=O)(=O)O
428356,CC(C)NCNC(=O)C=C
428636,CC1C=CC=CN1CC=C
429326,C1C=CC(=CN1)S(=O)(=O)O
429600,CC1=CC(=NC(=NN1)N)C
431149,C1=CC(=NC2=NC=NC21)N
434721,CC(=O)N=C1CC=CC=C1
435463,CC1=CC=NC2=NN=NC12
436765,C1C2C=NC=NC2=NC=N1
437029,CC1=NC=NC2=NC=NC12
437224,C1CCC(CC1)C(=O)C=O
437376,CC1C=CC=CN1C(C)C
437424,C1CSC2=C(C1=O)NCN2
437669,CC1=NC=NC2=NN=NC12
438908,CC(=C(C(=O)C)[N+](=O)[O-])O
439700,CC(C(=C)C(=O)O)C(=O)O
